
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
8,7.12,37.66,28.65,-1.79,1.18,1.61,53.07,14.18,25.29,0.05
9,7.12,37.66,28.65,-1.79,1.18,1.61,53.07,13.26,25.49,0.56
10,6.97,37.18,28.57,-3.25,1.18,1.61,53.07,13.26,25.49,0.56
11,6.97,37.18,28.57,-3.25,0.92,1.01,52.45,13.87,25.49,0.56
12,7.09,37.18,28.57,-3.25,0.92,1.01,52.45,13.87,25.64,0.08
13,7.09,38.02,27.34,-3.09,1.87,1.01,52.45,13.87,25.64,0.08
14,7.09,38.02,27.34,-3.09,1.87,1.23,54.16,14.41,25.82,0.09
15,5.81,37.87,27.34,-3.09,1.87,1.23,54.16,14.41,25.82,0.09
16,5.81,37.87,25.26,-3.27,1.41,1.4,54.16,14.41,25.82,0.09
17,5.81,37.87,25.26,-3.27,1.41,1.4,56.54,13.55,26.06,0.22
18,6.7,36.94,20.32,-2.65,1.41,1.4,56.54,13.55,26.06,0.22
19,6.7,36.94,20.32,-2.65,0.74,-0.29,61.92,13.55,26.06,0.22
20,-1.22,36.94,20.32,-2.65,0.74,-0.29,61.92,18.42,26.08,0.17
21,-1.22,27.88,-19.51,0.52,0.74,-0.29,61.92,18.42,26.08,0.17
22,-1.22,27.88,-19.51,0.52,3.48,-1.1,97.16,-30.57,26.08,0.17
23,0.2,27.88,-19.51,0.52,3.48,-1.1,97.16,-30.57,25.88,-2.67
24,0.2,1.81,-40.3,51.56,5.75,-1.1,97.16,-30.57,25.88,-2.67

0,6.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.54,35.77,31.24,-1.82,0.0,0.0,0.0,0.0,0.0,0.0
2,6.54,35.77,31.24,-1.82,1.76,1.44,49.04,11.45,0.0,0.0
3,6.69,35.77,31.24,-1.82,1.76,1.44,49.04,11.45,8.88,0.58
4,6.69,36.01,31.39,-2.14,1.82,1.44,49.04,11.45,8.88,0.58
5,6.69,36.01,31.39,-2.14,1.82,1.57,49.04,11.17,9.15,0.58
6,5.84,36.16,31.39,-2.14,1.82,1.57,49.04,11.17,9.15,0.52
7,5.84,36.16,29.14,-2.9,1.35,0.91,49.04,11.17,9.15,0.52
8,5.84,36.16,29.14,-2.9,1.35,0.91,51.45,13.13,9.37,0.14
9,6.58,36.28,28.17,-2.9,1.35,0.91,51.45,13.13,9.37,0.14
10,6.58,36.28,28.17,-1.54,1.45,1.09,52.24,13.13,9.37,0.14
11,5.7,36.28,28.17,-1.54,1.45,1.09,52.24,13.39,9.53,0.06
12,5.7,36.4,30.04,-0.12,1.45,1.09,52.24,13.39,9.53,0.06
