
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
10,3.29,-6.29,63.17,-99.98,5.26,6.85,-5.29,-8.53,102.9,2.79
11,3.29,-5.3,32.19,-99.98,-9.28,6.85,-5.29,-8.53,102.9,2.79
12,3.29,-5.3,32.19,-99.98,-9.28,4.53,-6.02,-3.82,103.42,2.79
13,0.52,-5.3,32.19,-99.98,-9.28,4.53,-6.02,-3.82,103.42,-0.33
14,0.52,2.11,-8.9,-99.98,-14.69,-1.7,-6.02,-3.82,103.42,-0.33
15,0.52,2.11,-8.9,-99.98,-14.69,-1.7,128.32,19.7,103.6,0.14
16,6.7,13.53,-8.9,-99.98,-14.69,-1.7,128.32,19.7,103.6,0.14
17,6.7,13.53,-30.17,-97.24,-5.31,-1.95,128.32,19.7,103.6,0.14
18,6.7,13.53,-30.17,-97.24,-5.31,-1.95,148.63,7.67,103.4,3.04
19,6.99,22.53,-40.9,-45.25,-5.31,-1.95,148.63,7.67,103.4,3.04
20,6.99,22.53,-40.9,-45.25,-3.2,-8.8,148.63,7.67,103.4,3.04
21,13.06,22.53,-40.9,-45.25,-3.2,-8.8,150.17,6.11,103.05,0.13
22,13.06,20.61,-54.82,-12.25,-3.2,-8.8,150.17,6.11,103.05,0.13
23,13.06,20.61,-54.82,-12.25,-4.9,-4.73,159.85,13.26,103.05,0.13
24,7.94,20.61,-54.82,-12.25,-4.9,-4.73,159.85,13.26,102.08,0.18

0,4.85,45.65,-17.83,-11.9,3.79,-0.11,102.85,2.87,113.38,-0.74
1,4.85,45.65,-17.83,-11.9,3.79,-0.11,109.86,12.86,113.54,-0.1
2,-2.52,49.27,-13.01,-11.9,3.79,-0.11,109.86,12.86,113.54,-0.1
3,-2.52,49.27,-13.01,-2.03,7.12,-1.63,109.86,12.86,113.54,-0.1
4,-2.52,49.27,-13.01,-2.03,7.12,-1.63,106.14,3.36,113.52,-0.1
5,6.78,44.61,-9.85,-2.17,7.12,-1.63,106.14,3.36,113.52,1.08
6,6.78,44.61,-9.85,-2.17,9.71,-5.18,104.68,3.36,113.52,1.08
7,6.78,44.61,-9.85,-2.17,9.71,-5.18,104.68,28.47,112.68,-1.1
8,3.97,44.48,-9.85,-2.17,9.71,-5.18,104.68,28.47,112.68,-1.1
9,3.97,44.48,-15.14,-4.39,5.13,-0.44,104.68,28.47,112.68,-1.1
10,4.7,44.48,-15.14,-4.39,5.13,-0.44,108.61,15.84,112.56,0.35
11,4.7,43.06,-17.86,-4.39,5.13,-0.44,108.61,15.84,112.56,0.35
12,4.7,43.06,-17.86,-3.18,1.18,-1.22,112.07,17.71,112.56,0.35
13,4.81,43.06,-17.86,-3.18,1.18,-1.22,112.07,17.71,112.39,0.23
14,4.81,41.51,-16.74,5.44,1.1,-1.22,112.07,17.71,112.39,0.23
15,4.81,41.51,-16.74,5.44,1.1,0.52,113.06,14.62,112.39,0.23
16,7.61,39.34,-19.11,5.44,1.1,0.52,113.06,14.62,112.41,0.2
17,7.61,39.34,-19.11,8.03,1.6,0.56,113.06,14.62,112.41,0.2
18,7.61,39.34,-19.11,8.03,1.6,0.56,120.5,19.99,112.53,0.33
19,8.6,27.77,-37.92,8.03,1.6,0.56,120.5,19.99,112.53,0.33
20,8.6,27.77,-37.92,20.9,1.86,3.82,147.43,19.99,112.53,0.33
21,8.6,27.77,-37.92,20.9,1.86,3.82,147.43,13.56,113.05,-1.04
22,6.31,-2.99,-70.0,20.9,1.86,3.82,147.43,13.56,113.05,-1.04
23,6.31,-2.99,-70.0,63.57,15.58,3.28,-100.76,13.56,113.05,-1.04
24,5.56,-2.99,-70.0,63.57,15.58,3.28,-100.76,65.29,113.68,-3.74

0,3.83,47.06,-4.21,4.87,0.73,0.61,94.95,33.84,115.09,0.43
1,7.69,47.06,-4.21,4.87,0.73,0.61,94.95,46.13,115.25,0.81
2,7.69,47.96,-5.67,0.67,1.64,0.61,94.95,46.13,115.25,0.81
3,7.69,47.96,-5.67,0.67,1.64,1.16,96.84,45.56,115.35,0.81
4,2.61,48.33,-5.67,0.67,1.64,1.16,96.84,45.56,115.35,-1.28
5,2.61,48.33,-7.99,-2.26,0.52,1.36,96.84,45.56,115.35,-1.28
6,2.61,48.33,-7.99,-2.26,0.52,1.36,98.96,27.17,115.66,0.26
7,6.04,47.09,-7.99,-2.26,0.52,1.36,98.96,27.17,115.66,0.26
8,6.04,47.09,-8.91,0.09,0.58,3.69,100.96,27.17,115.66,0.26
9,6.04,47.09,-8.91,0.09,0.58,3.69,100.96,25.83,116.08,0.13
10,3.03,47.34,-7.12,-1.1,0.58,3.69,100.96,25.83,116.08,0.13
11,3.03,47.34,-7.12,-1.1,-1.76,3.65,98.49,21.56,116.08,0.13
12,3.03,47.34,-7.12,-1.1,-1.76,3.65,98.49,21.56,116.65,0.01
13,3.54,46.92,-6.84,-1.09,-1.76,3.65,98.49,21.56,116.65,0.01
14,3.54,46.92,-6.84,-1.09,0.33,2.46,98.6,25.9,116.65,0.01
15,3.03,46.92,-6.84,-1.09,0.33,2.46,98.6,25.9,117.1,0.1
16,3.03,46.82,-8.24,-2.43,0.13,2.46,98.6,25.9,117.1,0.1
17,3.03,46.82,-8.24,-2.43,0.13,1.48,100.83,23.5,117.43,0.1
18,5.05,44.33,-8.24,-2.43,0.13,1.48,100.83,23.5,117.43,0.1
19,5.05,44.33,-11.49,-1.89,1.12,0.68,100.83,23.5,117.43,0.1
20,5.05,44.33,-11.49,-1.89,1.12,0.68,106.03,21.78,117.57,0.07
21,7.27,38.76,-11.49,-1.89,1.12,0.68,106.03,21.78,117.57,0.07
22,7.27,38.76,-20.31,4.49,4.24,1.08,106.03,21.78,117.57,0.07
23,7.27,38.76,-20.31,4.49,4.24,1.08,120.16,18.94,117.73,0.07
24,9.92,24.47,-20.31,4.49,4.24,1.08,120.16,18.94,117.73,-0.68

0,17.67,20.37,-23.99,-99.98,-20.12,-9.53,81.16,64.4,117.3,0.54
1,17.67,20.37,-23.99,-99.98,-20.12,-9.53,137.29,21.05,115.58,-2.43
2,7.1,32.8,-36.65,-99.98,-20.12,-9.53,137.29,21.05,115.58,-2.43
3,7.1,32.8,-36.65,-35.71,3.82,-16.71,139.3,21.05,115.58,-2.43
4,7.1,32.8,-36.65,-35.71,3.82,-16.71,139.3,16.33,114.0,0.31
5,12.52,35.63,-25.85,-14.09,3.82,-16.71,139.3,16.33,114.0,0.31
6,12.52,35.63,-25.85,-14.09,2.16,-6.88,126.79,23.42,114.0,0.31
7,12.36,35.63,-25.85,-14.09,2.16,-6.88,126.79,23.42,112.32,0.08
